!!	C102										
					
						
CUST	NO.	XCOORD.	YCOORD.	DEMAND	READY	TIME	DUE	DATE	SERVICE	TIME

											 
	0	40	50	0	0	480	0
	1	45	68	10	0	120	90
	2	45	70	30	0	120	90
	3	42	66	10	0	120	90
	4	42	68	10	282	342	90
	5	42	65	10	0	120	90
	6	40	69	20	241	301	90
	7	40	66	20	0	120	90
	8	38	68	20	99	159	90
	9	38	70	10	207	267	90
	10	35	66	10	138	198	90
	11	35	69	10	173	233	90
	12	25	85	20	0	120	90
	13	22	75	30	11	71	90
	14	22	85	10	220	280	90
	15	20	80	40	149	209	90
	16	20	85	40	184	244	90
	17	18	75	20	38	98	90
	18	15	75	20	69	129	90
	19	15	80	10	107	167	90
	20	30	50	10	3	63	90
	21	30	52	20	0	120	90
	22	28	52	20	315	375	90
	23	28	55	10	284	344	90
	24	25	50	10	25	85	90
	25	25	52	40	65	125	90
	26	25	55	10	0	120	90
	27	23	52	10	101	161	90
	28	23	55	20	212	272	90
	29	20	50	10	139	199	90
	30	20	55	10	174	234	90
	31	10	35	20	0	120	90
	32	10	40	30	12	72	90
	33	8	40	40	33	93	90
	34	8	45	20	0	120	90
	35	5	35	10	109	169	90
	36	5	45	10	258	318	90
	37	2	40	20	0	120	90
	38	0	40	30	186	246	90
	39	0	45	20	220	280	90
	40	35	30	10	102	162	90
	41	35	32	10	64	124	90
	42	33	32	20	26	86	90
	43	33	35	10	6	66	90
	44	32	30	10	139	199	90
	45	30	30	10	210	270	90
	46	30	32	30	173	233	90
	47	30	35	10	409	469	90
	48	28	30	10	0	120	90
	49	28	35	10	388	448	90
	50	26	32	10	0	120	90
	51	25	30	10	281	341	90
	52	25	35	10	0	120	90
	53	44	5	20	111	171	90
	54	42	10	40	72	132	90
	55	42	15	10	36	96	90
	56	40	5	30	149	209	90
	57	40	15	40	13	73	90
	58	38	5	30	182	242	90
	59	38	15	10	0	120	90
	60	35	5	20	218	278	90
	61	50	30	10	206	266	90
	62	50	35	20	101	161	90
	63	50	40	50	66	126	90
	64	48	30	10	245	305	90
	65	48	40	10	29	89	90
	66	47	35	10	320	380	90
	67	47	40	10	4	64	90
	68	45	30	10	285	345	90
	69	45	35	10	355	415	90
	70	95	30	30	150	210	90
	71	95	35	20	113	173	90
	72	53	30	10	0	120	90
	73	92	30	10	185	245	90
	74	53	35	50	137	197	90
	75	45	65	20	0	120	90
	76	90	35	10	78	138	90
	77	88	30	10	222	282	90
	78	88	35	20	42	102	90
	79	87	30	10	259	319	90
	80	85	25	10	298	358	90
	81	85	35	30	18	78	90
	82	75	55	20	0	120	90
	83	72	55	10	0	120	90
	84	70	58	20	177	237	90
	85	68	60	30	0	120	90
	86	66	55	10	67	127	90
	87	65	55	20	33	93	90
	88	65	60	30	250	310	90
	89	63	58	10	286	346	90
	90	60	55	10	7	67	90
	91	60	60	10	0	120	90
	92	67	85	20	142	202	90
	93	65	85	40	184	244	90
	94	65	82	10	0	120	90
	95	62	80	30	0	120	90
	96	60	80	10	0	120	90
	97	60	85	30	217	277	90
	98	58	75	20	0	120	90
	99	55	80	10	288	348	90
	100	55	85	20	251	311	90
	999	0	0	0	0	0	0
